State Code,FIPS County Code,County Name,Metal Level,Issuer Name,Premium Adult Individual Age 60 ,Medical Deductible - Individual - Standard,Medical Maximum Out Of Pocket - Individual - Standard
AK,2013,Aleutians East,Gold,Premera Blue Cross Blue Shield of Alaska,"$1,463.00","$1,500","$6,000"
AK,2013,Aleutians East,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,554.00","$4,500","$7,350"
AK,2013,Aleutians East,Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,028.00","$6,350","$7,800"
AK,2013,Aleutians East,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,532.00","$3,000","$6,600"
AK,2013,Aleutians East,Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,064.00","$5,250","$6,700"
AK,2016,Aleutians West,Gold,Premera Blue Cross Blue Shield of Alaska,"$1,463.00","$1,500","$6,000"
AK,2016,Aleutians West,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,554.00","$4,500","$7,350"
AK,2016,Aleutians West,Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,028.00","$6,350","$7,800"
AK,2016,Aleutians West,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,532.00","$3,000","$6,600"
AK,2016,Aleutians West,Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,064.00","$5,250","$6,700"
AK,2020,Anchorage,Gold,Premera Blue Cross Blue Shield of Alaska,"$1,391.00","$1,500","$6,000"
AK,2020,Anchorage,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,478.00","$4,500","$7,350"
AK,2020,Anchorage,Bronze,Premera Blue Cross Blue Shield of Alaska,$978.00,"$6,350","$7,800"
AK,2020,Anchorage,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,457.00","$3,000","$6,600"
AK,2020,Anchorage,Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,012.00","$5,250","$6,700"
AK,2050,Bethel,Gold,Premera Blue Cross Blue Shield of Alaska,"$1,391.00","$1,500","$6,000"
AK,2050,Bethel,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,478.00","$4,500","$7,350"
AK,2050,Bethel,Bronze,Premera Blue Cross Blue Shield of Alaska,$978.00,"$6,350","$7,800"
AK,2050,Bethel,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,457.00","$3,000","$6,600"
AK,2050,Bethel,Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,012.00","$5,250","$6,700"
AK,2060,Bristol Bay,Gold,Premera Blue Cross Blue Shield of Alaska,"$1,463.00","$1,500","$6,000"
AK,2060,Bristol Bay,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,554.00","$4,500","$7,350"
AK,2060,Bristol Bay,Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,028.00","$6,350","$7,800"
AK,2060,Bristol Bay,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,532.00","$3,000","$6,600"
AK,2060,Bristol Bay,Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,064.00","$5,250","$6,700"
AK,2068,Denali,Gold,Premera Blue Cross Blue Shield of Alaska,"$1,463.00","$1,500","$6,000"
AK,2068,Denali,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,554.00","$4,500","$7,350"
AK,2068,Denali,Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,028.00","$6,350","$7,800"
AK,2068,Denali,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,532.00","$3,000","$6,600"
AK,2068,Denali,Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,064.00","$5,250","$6,700"
AK,2070,Dillingham,Gold,Premera Blue Cross Blue Shield of Alaska,"$1,391.00","$1,500","$6,000"
AK,2070,Dillingham,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,478.00","$4,500","$7,350"
AK,2070,Dillingham,Bronze,Premera Blue Cross Blue Shield of Alaska,$978.00,"$6,350","$7,800"
AK,2070,Dillingham,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,457.00","$3,000","$6,600"
AK,2070,Dillingham,Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,012.00","$5,250","$6,700"
AK,2090,Fairbanks North Star,Gold,Premera Blue Cross Blue Shield of Alaska,"$1,463.00","$1,500","$6,000"
AK,2090,Fairbanks North Star,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,554.00","$4,500","$7,350"
AK,2090,Fairbanks North Star,Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,028.00","$6,350","$7,800"
AK,2090,Fairbanks North Star,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,532.00","$3,000","$6,600"
AK,2090,Fairbanks North Star,Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,064.00","$5,250","$6,700"
AK,2100,Haines,Gold,Premera Blue Cross Blue Shield of Alaska,"$1,427.00","$1,500","$6,000"
AK,2100,Haines,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,516.00","$4,500","$7,350"
AK,2100,Haines,Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,003.00","$6,350","$7,800"
AK,2100,Haines,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,494.00","$3,000","$6,600"
AK,2100,Haines,Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,038.00","$5,250","$6,700"
AK,2105,Hoonah Angoon,Gold,Premera Blue Cross Blue Shield of Alaska,"$1,427.00","$1,500","$6,000"
AK,2105,Hoonah Angoon,Silver,Premera Blue Cross Blue Shield of Alaska,"$1,516.00","$4,500","$7,350"
AK,2105,Hoonah Angoon,Bronze,Premera Blue Cross Blue Shield of Alaska,"$1,003.00","$6,350","$7,800"
